distance_m,maxSpeed_km_per_h,trafficSpeed_km_per_h,baseSpeed_km_per_h,road,road_number,actions,road_type
1,32.00000148,22.999999680000002,22.999999680000002,Spur Road,,,Local
837,32.00000148,28.00000116,35.00000028,Spur Road,,,Local
893,32.00000148,22.999999680000002,32.00000148,Spur Road,,,Local
924,32.00000148,18.0,26.000000280000002,Spur Road,,,Local
934,32.00000148,18.0,26.000000280000002,Spur Road,,keep (right),Local
935,32.00000148,13.00000032,21.0000006,Grosvenor Place,,,Local
972,32.00000148,25.00000092,31.000001759999996,Grosvenor Place,,,Local
1003,32.00000148,21.0000006,28.999999080000002,Grosvenor Place,,,Local
1026,32.00000148,19.00000116,22.00000032,Grosvenor Place,,,Local
1054,32.00000148,19.00000116,22.00000032,Grosvenor Place,,keep (left),Local
1055,32.00000148,20.000000879999998,26.000000280000002,Knightsbridge,,,Local
1077,32.00000148,24.000001200000003,28.999999080000002,Knightsbridge,,,Local
1082,32.00000148,27.0,31.000001759999996,Knightsbridge,,,Local
1108,32.00000148,34.00000092,36.99999972,Knightsbridge,,,Local
1267,32.00000148,30.000002400000003,35.00000028,Knightsbridge,,,Local
1299,32.00000148,28.00000116,35.00000028,Knightsbridge,,,Local
1375,32.00000148,20.000000879999998,27.0,Knightsbridge,,,Local
1503,32.00000148,24.000001200000003,32.00000148,Knightsbridge,,,Local
1569,32.00000148,18.0,22.00000032,Knightsbridge,,,Local
1620,32.00000148,22.999999680000002,30.000002400000003,Knightsbridge,,,Local
1637,32.00000148,18.0,28.00000116,Knightsbridge,,,Local
1664,32.00000148,18.0,28.00000116,Knightsbridge,,keep (right),Local
1665,32.00000148,18.0,18.0,Knightsbridge,,,Local
1686,32.00000148,24.000001200000003,25.00000092,Knightsbridge,,,Local
1717,32.00000148,20.000000879999998,27.0,Knightsbridge,,,Local
1757,32.00000148,28.00000116,32.00000148,Knightsbridge,,,Local
1775,32.00000148,30.000002400000003,32.00000148,Knightsbridge,,,Local
1809,32.00000148,28.999999080000002,33.0000012,Knightsbridge,,,Local
1902,32.00000148,30.000002400000003,36.99999972,Knightsbridge,,,Local
1939,32.00000148,28.00000116,36.99999972,Knightsbridge,,,Local
1963,32.00000148,30.000002400000003,35.00000028,Knightsbridge,,,Local
2006,32.00000148,33.0000012,36.99999972,Knightsbridge,,,Local
2098,32.00000148,35.00000028,38.00000268,Knightsbridge,,,Local
2144,32.00000148,34.00000092,36.99999972,Knightsbridge,,,Local
2174,32.00000148,35.00000028,36.99999972,Knightsbridge,,,Local
