distance(m),HC,CO,NOx,FC,CO2(total),PM2.5,BC (exhaust),PM2.5 (non-exhaust)
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0009935791408503375,0.004088394827535892,0.012602871338484846,3.76893302587811,11.883446599360244,3.89698458388356e-05,5.845477530937199e-06,0.0007800000309944128
54,1.91072911701988e-05,7.862297745261331e-05,0.0002423629103554778,0.07247948126688673,0.22852781921846627,7.494201122852999e-07,1.124130294411e-07,1.50000005960464e-05
239,0.0035348488664867783,0.014545250828733461,0.044837138415763395,13.408704034374047,42.277646555416254,0.00013864272077278048,2.07964104466035e-05,0.002775000110268584
240,1.91072911701988e-05,7.862297745261331e-05,0.0002423629103554778,0.07247948126688673,0.22852781921846627,7.494201122852999e-07,1.124130294411e-07,1.50000005960464e-05
454,0.0040889603104225436,0.016825317174859248,0.05186566281607225,15.510608991113761,48.90495331275178,0.00016037590402905418,2.40563883003954e-05,0.0032100001275539294
455,1.72111599596097e-05,7.04057307096529e-05,0.0002227743779774164,0.06574786377687776,0.20730302880901988,6.862322495745001e-07,1.029348487396e-07,1.50000005960464e-05
480,0.00034741881779337506,0.0014904660380306376,0.004786966842629345,1.429074324696929,4.505871714685063,1.5097519276817502e-05,2.264628041551315e-06,0.00037500001490116
513,0.00047682207497554743,0.0020267441464978356,0.006490922564457738,1.9335949966073933,6.096625508873205,2.03815484684823e-05,3.0572324974727335e-06,0.0004950000196695312
556,0.0006925733430227174,0.0028728313734350803,0.009130726195736053,2.7041079598836646,8.52605301954653,2.8327901427654897e-05,4.249185624196863e-06,0.0006450000256299952
618,0.0008615986681275701,0.003696355774315981,0.011871677769720776,3.544104325248384,11.174561852418956,3.74418478065074e-05,5.616277543047261e-06,0.0009300000369548767
628,0.00015001554862540602,0.000632143370544008,0.0020191057262559818,0.6002460256408607,1.8925758649582205,6.313445906534001e-06,9.470169636659791e-07,0.000150000005960464
658,0.000433474613614134,0.001842494678634396,0.00590083869496158,1.7578136332794483,5.542386826248368,1.8528680425893e-05,2.7793022704297576e-06,0.00045000001788139194
704,0.0006392506247398101,0.002742457509976373,0.008808018990437995,2.6294967574423493,8.290803955020515,2.77794354693442e-05,4.16691559645442e-06,0.0006900000274181344
801,0.0015087337259805196,0.006306181927635885,0.020091272642323608,5.9611754831624815,18.79558770865309,6.257145054304861e-05,9.385718420730448e-06,0.0014550000578165008
824,0.0004085619221008169,0.0016606823644982683,0.005243777703817754,1.5451096543831897,4.871731067970533,1.60989461198612e-05,2.4148421982834e-06,0.0003450000137090672
849,0.00036122884467844503,0.0015354122321953301,0.00491736557913465,1.4648446943995403,4.618655688540307,1.5440567021577503e-05,2.3160852253581317e-06,0.00037500001490116
854,6.6721759175983e-05,0.000289103972009316,0.0009313136306135194,0.2786607935743308,0.878617556286412,2.950894331111e-06,4.4263417525381797e-07,7.5000002980232e-05
860,9.000932917524361e-05,0.0003792860223264048,0.001211463435753589,0.3601476153845164,1.1355455189749322,3.7880675439204003e-06,5.682101781995875e-07,9.00000035762784e-05
871,0.000152864279829085,0.0006558050567334805,0.0021062654107569115,0.6287927028666488,1.9825835544614274,6.6429084817997e-06,9.964363382825784e-07,0.00016500000655651038
915,0.0005257800872598383,0.0023324667004151257,0.007603274274962652,2.2852664405434715,7.205445708672665,2.4351872153540798e-05,3.6527809332986936e-06,0.00065755500927754
936,0.0002503051223769453,0.0010998451231076507,0.0036106824110851603,1.0814652290426452,3.409860126978236,1.1519799844476e-05,1.7279700124038798e-06,0.0003115110047323554
998,0.0008273498137821892,0.0035848892529155183,0.011548289019607642,3.4553938403217024,10.89485769795151,3.65910897057764e-05,5.4886637731473425e-06,0.0009300000369548767
1006,0.0001067548146815728,0.0004625663552149056,0.0014901018089816312,0.44585726971892936,1.4057880900582593,4.7214309297776e-06,7.082146804061087e-07,0.0001200000047683712
1031,0.000333608795879915,0.00144551986004658,0.0046565681530675975,1.3933039678716543,4.393087781432061,1.4754471655555e-05,2.2131708762690897e-06,0.00037500001490116
1060,0.0005151432930836388,0.002093903850889121,0.006611719713509342,1.9481817381353264,6.142617433528063,2.0298671194607602e-05,3.0448010326182e-06,0.0004350000172853456
1090,0.0005701723873008809,0.002395133392614672,0.007280292239016489,2.2077370662478533,6.960995429952668,2.2771419051732e-05,3.4157131914449996e-06,0.00045000001788139194
1117,0.0004497865167202857,0.0018524129268381892,0.005874077823459729,1.7365603922344974,5.475375305331979,1.8157779841057198e-05,2.7236672574894e-06,0.0004050000160932528
1132,0.000216737306807067,0.000921247339317198,0.00295041934748079,0.8789068166397241,2.771193413124184,9.2643402129465e-06,1.3896511352148788e-06,0.00022500000894069597
1154,0.000269270093056602,0.0011929521751111337,0.003868278198450149,1.1631516410504597,3.667417453674983,1.23801710261108e-05,1.8570257276168016e-06,0.00033000001311302076
1184,0.000383758522793814,0.001680688399058268,0.0054314032998747505,1.6290403178028514,5.136364569092179,1.7293708692954e-05,2.5940564309547273e-06,0.00045000001788139194
1242,0.000709893881694678,0.003145055734383898,0.01019818797773221,3.066490690042121,9.668646014234048,3.26386327052012e-05,4.895795100080659e-06,0.0008700000345706911
1254,0.00016013222202235922,0.0006938495328223584,0.0022351527134724467,0.668785904578394,2.1086821350873888,7.0821463946664e-06,1.062322020609163e-06,0.0001800000071525568
1368,0.0018361246768509253,0.0076163436411999805,0.024207041542183956,7.169030405272972,22.603954516937318,7.51018782035502e-05,1.1265282817638195e-05,0.0017100000679492896
1428,0.0009000932917524359,0.0037928602232640478,0.01211463435753589,3.601476153845164,11.355455189749321,3.7880675439204e-05,5.682101781995875e-06,0.0009000000357627839
1468,0.0006884463983843881,0.0028162292283861164,0.008910975119096656,2.6299145510751107,8.292121152360796,2.7449289982980002e-05,4.117393949584e-06,0.000600000023841856
1489,0.0003150326521133526,0.0013275010781424168,0.004240122025137562,1.2605166538458075,3.974409316412263,1.3258236403721401e-05,1.9887356236985564e-06,0.0003150000125169744
1515,0.0004474901589498522,0.0018305489984509755,0.005792133827412826,1.7094444581988217,5.389878749034517,1.7842038488937e-05,2.6763060672296e-06,0.0003900000154972064
1544,0.0005276082042498499,0.002597129911614423,0.007110347319520529,2.392072973325989,7.542206657652054,2.42458810064825e-05,3.6368821312328e-06,0.0004350000172853456
1609,0.0012485743605641865,0.005031531214282924,0.015733211784327968,4.638902098401194,14.62645924135005,4.80865386333475e-05,7.212981709791001e-06,0.000975000038743016
1625,0.0002577017090317088,0.0010689605110456113,0.003397479514692485,1.006179706003224,3.1724848444824305,1.0540614484708799e-05,1.5810923252825537e-06,0.0002400000095367424
1683,0.0008700901820273548,0.0036664315491552464,0.011710813212284696,3.481426948716992,10.976940016757679,3.66179862578972e-05,5.492698389262679e-06,0.0008700000345706911
1722,0.0006496916352626349,0.0026757075609884955,0.00848477907833072,2.508365011005385,7.908875441035081,2.6227904214860398e-05,3.9341860385958e-06,0.0005850000232458096
1748,0.0004994297442256746,0.0020126124857131693,0.006293284713731186,1.8555608393604772,5.85058369654002,1.9234615453338997e-05,2.8851926839164e-06,0.0003900000154972064
1800,0.0009237052151844556,0.003754586215387389,0.011855497417327094,3.493291392518516,11.014348501498594,3.63976173144688e-05,5.459643230901599e-06,0.0007800000309944128
1816,0.0002665401580564656,0.001097726178867075,0.0034809350064946543,1.0290728250278502,3.244666847604136,1.0760165831737599e-05,1.6140250414752001e-06,0.0002400000095367424
1843,0.0004497865167202857,0.0018524129268381892,0.005874077823459729,1.7365603922344974,5.475375305331979,1.8157779841057198e-05,2.7236672574894e-06,0.0004050000160932528
1867,0.0004610120715929304,0.0018577961406583104,0.005809185889598018,1.7128253901789021,5.400538796806172,1.7755029649236e-05,2.6632547851536003e-06,0.0003600000143051136
1891,0.00036003731670097443,0.001517144089305619,0.004845853743014356,1.4405904615380656,4.542182075899729,1.5152270175681601e-05,2.27284071279835e-06,0.0003600000143051136
1902,0.0001650171034879466,0.0006953577075984088,0.00222101629888158,0.6602706282049466,2.081833451454042,6.9447904971874e-06,1.041718660032577e-06,0.00016500000655651038
1918,0.0002400248778006496,0.0010114293928704127,0.003230569162009571,0.960393641025377,3.028121383933153,1.01015134504544e-05,1.5152271418655667e-06,0.0002400000095367424
1932,0.00023322263829940739,0.0009605104065086908,0.0030458181306828227,0.900438721899369,2.839083491653619,9.4151451027704e-06,1.4122719112908e-06,0.0002100000083446496
1972,0.00062215823751774,0.0026004873928395403,0.008285060883432416,2.4582166940876213,7.750757818001274,2.5802660017752e-05,3.870399348754824e-06,0.000600000023841856
2023,0.0006805619435950265,0.0029488605144950227,0.009499399032257898,2.8423400944581743,8.961899074121403,3.0099122177332197e-05,4.514868587588943e-06,0.0007650000303983663
2101,0.00108394671151533,0.004650254038655589,0.014935336549003557,4.458711893054419,14.058319749817395,4.7104260143670604e-05,7.065639489640103e-06,0.0011700000464916192
2132,0.0004479237674012718,0.0019039111679222092,0.006097533318126966,1.81640742105543,5.727133053789981,1.91463031067561e-05,2.871945679444083e-06,0.00046500001847743836
2141,0.00014495721133033618,0.0006012902874631563,0.0019110822270145226,0.5659760846268135,1.784522725021367,5.929095647648699e-06,8.893644329714363e-07,0.00013500000536441757
2160,0.0003375076747789357,0.0013718680402377,0.004331816364023361,1.2763949318817656,4.024473490932179,1.32991294033636e-05,1.9948696420602e-06,0.00028500001132488156
2180,0.000367929527066802,0.0017425319499407741,0.004891147893067604,1.605235295838631,5.061307260710759,1.6336209391022002e-05,2.450431454058e-06,0.000300000011920928
2217,0.0006981294599492254,0.0028045732101904075,0.008821622583677363,2.5914914583994464,8.170973090124974,2.69137257693161e-05,4.0370593817141e-06,0.0005550000220537168
2231,0.000217755383131209,0.000910170587493839,0.0028997713092013457,0.8603758429306675,2.712765236300446,9.0309310062132e-06,1.3546397720641886e-06,0.0002100000083446496
2247,0.00023118646059420482,0.0009826638286050112,0.003147113970646176,0.9375006044157058,2.9559396406657967,9.8819628938096e-06,1.4822945442292042e-06,0.0002400000095367424
2267,0.000266887036703932,0.001156415888037264,0.0037252545224540777,1.1146431742973233,3.514470225145648,1.1803577324444e-05,1.7705367010152719e-06,0.000300000011920928
2313,0.0005884297349505148,0.0025770555452226777,0.008328151726474617,2.497861820631039,7.875759005941341,2.65170199958628e-05,3.977553194130582e-06,0.0006900000274181344
2359,0.0005630192854819859,0.002494354547959643,0.008088218051304857,2.432044340378234,7.668236494047692,2.5885812145504402e-05,3.88287197592604e-06,0.0006900000274181344
2368,0.0001200991665167694,0.0005203871496167687,0.0016763645351043348,0.5015894284337955,1.5815116013155415,5.3116097959998e-06,7.967415154568723e-07,0.00013500000536441757
2425,0.0008550886271648143,0.0036032172121008457,0.011508902639659098,3.421402346152906,10.787682430261857,3.5986641667243805e-05,5.397996692896081e-06,0.0008550000339746448
