distance(m),HC,CO,NOx,FC,CO2(total),PM2.5,BC (exhaust),PM2.5 (non-exhaust)
1,0.003807769334371908,0.36051846906135215,0.028812849346477928,55.181522135701364,173.98733661465448,0.0008475675244586527,0.0001271351346224388,0.012539999719709179
837,0.00023831911115093762,0.022734013204479243,0.001765126634956608,3.359934288429076,10.593872737642634,5.3817511350624e-05,8.0726272582592e-06,0.0008399999812245384
893,0.00014119718823627888,0.013368507824045354,0.0010684190547138946,2.046204768189883,6.4516835347539345,3.14289393040888e-05,4.7143411163823e-06,0.00046499998960644086
924,4.7022260425618995e-05,0.004272536238354881,0.000357442045035358,0.7341047889596287,2.314632358881554,1.0751549027774e-05,1.612732474506e-06,0.000149999996647239
934,4.7022260425618995e-06,0.0004272536238354881,3.57442045035358e-05,0.07341047889596287,0.2314632358881554,1.0751549027774e-06,1.612732474506e-07,1.4999999664723899e-05
935,0.0001794390508675703,0.015660807212546174,0.0013698612937644167,2.990131037558488,9.427882978759127,4.20495029909663e-05,6.3074260756623e-06,0.0005549999875947842
972,0.0001385044663691046,0.013251141695660345,0.0010430622933959449,1.9623547549522933,6.187304459576557,3.0717093633920994e-05,4.6075642489116e-06,0.00046499998960644086
1003,0.0001061160015594602,0.009881875546457173,0.0008044654817742776,1.5862675337406902,5.0015014522066705,2.3882372056235002e-05,3.5823560174259e-06,0.00034499999228864965
1026,0.0001308364511851964,0.01198543745333976,0.0009936749045763623,2.0140316669031435,6.350241736612475,2.97609552116856e-05,4.4641435911968e-06,0.0004199999906122692
1054,4.6727303994713e-06,0.00042805133761927714,3.5488389449155796e-05,0.07192970238939797,0.2267943477361598,1.0628912575602e-06,1.594336996856e-07,1.4999999664723899e-05
1055,0.00010215116557479459,0.009434679105595914,0.0007751166447892802,1.5498764163332728,4.886760258761818,2.3113807860057198e-05,3.4670714005267997e-06,0.00032999999262392575
1077,2.26262617695645e-05,0.002160199509716983,0.00017104657825374602,0.3226291419291814,1.017249669344732,5.0078655105635e-06,7.511798572800001e-07,7.49999983236195e-05
1082,0.0001124871199216986,0.010741338832978762,0.0008379575534603884,1.5885949994558761,5.008839987304441,2.5245375976025398e-05,3.7868066253784e-06,0.0003899999912828214
1108,0.0006091803995071554,0.05771401115325256,0.004335296296783731,8.489478724433207,26.767326638984265,0.0001433119463629029,2.14967945966553e-05,0.0023849999466911
1267,0.0001316556780167712,0.012532375646611606,0.0009632666517355521,1.849499698674254,5.831472536631158,3.0116127289631998e-05,4.5174194823808e-06,0.00047999998927116477
1299,0.0003234330794191296,0.030853303634650397,0.002395529004583968,4.559910820010889,14.377398715372145,7.3038051118704e-05,1.0955708421923199e-05,0.0011399999745190163
1375,0.0005943340542533504,0.054892678432558045,0.004509769569683085,9.017462785939042,28.43205968734149,0.0001344803366403328,2.01720517848832e-05,0.001919999957084659
1503,0.00029866665535825145,0.028514633528264176,0.0022578148329494476,4.2587046734651945,13.427695635350464,6.61038247394382e-05,9.915574116096e-06,0.0009899999778717773
1569,0.00023981352817065686,0.021789934815609893,0.0018229544296803255,3.743934423694106,11.804625030295924,5.483290004164739e-05,8.2249356199806e-06,0.0007649999829009188
1620,7.74307161295723e-05,0.007331117193831324,0.0005859072235527809,1.122112292233162,3.538020002929577,1.7235224779661603e-05,2.5852838380161005e-06,0.0002549999943003063
1637,0.0001269601031491713,0.011535847843558178,0.0009650935215954666,1.9820829301909975,6.249507368980195,2.9029182374989797e-05,4.3543776811662e-06,0.0004049999909475453
1664,4.7022260425618995e-06,0.0004272536238354881,3.57442045035358e-05,0.07341047889596287,0.2314632358881554,1.0751549027774e-06,1.612732474506e-07,1.4999999664723899e-05
1665,0.000207978860555739,0.017978588999467037,0.0013826771349291225,2.8100689300044555,8.860147668907647,5.17577183300814e-05,7.7636585752362e-06,0.0005849999869242321
1704,0.00031514035293142085,0.026952385301759457,0.0020747977167289064,4.214084269199018,13.287008236960613,7.9130452243276e-05,1.18695692026856e-05,0.0008399999812245384
1760,0.00010579960655145,0.009254413202864869,0.0007109877949077982,1.445946525877328,4.559069553213684,2.6065162986471e-05,3.9097748248881e-06,0.0003149999929592019
1781,0.000166017652374147,0.014713412344542973,0.0011290951806733097,2.2979649402681077,7.245483681916468,4.0434640057525006e-05,6.0651965239880006e-06,0.0005249999882653365
1816,0.0001385967287825352,0.011794659694557392,0.0009083593999476625,1.844417551574345,5.815448782458972,3.49441239058632e-05,5.24161921008e-06,0.00035999999195337356
1840,0.0001027051023300372,0.009041230535032755,0.0006942224697624553,1.412362781289564,4.453179995542578,2.5162974484857304e-05,3.7744465157952e-06,0.0003149999929592019
1861,0.00014298952669124479,0.012003673213999895,0.0009255971863925392,1.8779134625849416,5.921061415874168,3.64524538141571e-05,5.4678687815412e-06,0.00034499999228864965
1884,0.0004735388233403286,0.04029842062307109,0.0031035612831545136,6.301759967879013,19.869450006734823,0.00011939242334503261,1.790886563444e-05,0.0012299999725073599
1966,0.00044994616258873436,0.03960920043919111,0.0030413555818164704,6.187494089459042,19.50916950428177,0.00011023779298127961,1.65356704501504e-05,0.0013799999691545986
2058,0.00037862818203737096,0.0327302517682605,0.0025171814507684025,5.115766513597855,16.13001242288315,9.42255897804046e-05,1.4133839970301798e-05,0.0010649999761953967
2129,7.46032313171712e-05,0.006262786024695597,0.0004829202711613248,0.9797809370008391,3.0892494343691315,1.90186715552124e-05,2.8528011034128e-06,0.00017999999597668678
2141,0.000127986991111224,0.011063747076595099,0.0008508782368794601,1.7292731876950496,5.452398565481629,3.18509035877424e-05,4.7776360462992e-06,0.00035999999195337356
2165,0.0002284825591797984,0.019029164777560826,0.0014864606753179968,3.05502419198122,9.63249169668774,5.830064193456359e-05,8.7450974079156e-06,0.0005399999879300603
2201,5.86886299028784e-05,0.0051664174485901455,0.0003966985541499744,0.8070644464511794,2.5446742831671876,1.43788425627756e-05,2.1568265804544e-06,0.00017999999597668678
2213,0.00029724651364455,0.02600049423662034,0.00199753713807429,4.062421191750588,12.80881445902892,7.3230696009609e-05,1.09846054603999e-05,0.00088499998021871
2272,0.0001369401364400496,0.01205497404671034,0.0009256299596832736,1.8831503750527518,5.937573327390104,3.35506326464764e-05,5.0325953543936e-06,0.0004199999906122692
2300,0.0001023188753788437,0.009201842184250582,0.0007052527808470903,1.4365268403137688,4.529369251467156,2.4595112107120798e-05,3.6892670805832995e-06,0.00034499999228864965
2323,4.1539317495561e-05,0.0037977696181793644,0.000290664650273316,0.592592333894627,1.8684436722017146,9.834298930735999e-06,1.475144922378e-06,0.000149999996647239
2333,0.00011248654064718359,0.009902300109797778,0.0007603388954541176,1.5468735223647605,4.877292376070442,2.7559448245319902e-05,4.1339176125376e-06,0.00034499999228864965
2356,6.02180510214696e-05,0.005458999499825217,0.0004181074139312756,0.8520184708115067,2.686414306597355,1.43694785867332e-05,2.1554219264508e-06,0.0002099999953061346
2370,0.00014672157475719599,0.012916043621475363,0.000991746385374936,2.0176611161279485,6.361685707917968,3.5947106406939e-05,5.3920664511359996e-06,0.00044999998994171695
2400,0.0002001891040020855,0.018003604273533747,0.0013798423973095243,2.8105959919182433,8.861809405044436,4.8120871513932e-05,7.218131244619499e-06,0.0006749999849125755
2445,2.1331165185204002e-05,0.0018439578460991834,0.00014181303947991,0.28821219794917496,0.9087330942469383,5.3084839312904e-06,7.962726743832e-07,5.9999998658895596e-05
2449,3.42350341100124e-05,0.003013743511677585,0.0002314074899208184,0.47078759376318796,1.484393331847526,8.3876581616191e-06,1.2581488385984e-06,0.0001049999976530673
2456,5.332791296301e-05,0.004609894615247958,0.000354532598699775,0.7205304948729373,2.2718327356173456,1.3271209828226e-05,1.990681685958e-06,0.000149999996647239
2466,0.00015998373888903,0.013829683845743873,0.001063597796099325,2.161591484618812,6.815498206852037,3.9813629484678e-05,5.972045057874e-06,0.00044999998994171695
2496,0.00040135853580801676,0.03738527780144497,0.002856855599790556,5.8303208593665765,18.383002012462438,9.3340735318636e-05,1.4001110823283998e-05,0.0015599999651312855
2600,0.0001620871009993914,0.015097900650583545,0.001153730146069263,2.3545526547441944,7.423904658879063,3.7695296955603e-05,5.654294755557e-06,0.0006299999859184038
2642,0.000212348454747322,0.01959014730373204,0.001498210220107014,3.055980517258738,9.635506773379921,4.9844835679069895e-05,7.476725705092499e-06,0.0007949999822303666
