distance(m),speed_limit(km/h),vehicle_speed(km/h),road_type,HC,CO,NOx,FC,CO2(total),PM2.5,BC (exhaust),PM2.5 (non-exhaust)
1,32.00000148,22.99999968,Local,0.0045547480076219525,0.43124218787243085,0.034465130797222465,66.0066054254801,208.11882370173979,0.001013836751744885,0.00015207551988338008,0.0149999996647239
57,32.00000148,22.99999968,Local,0.0045547480076219525,0.43124218787243085,0.034465130797222465,66.0066054254801,208.11882370173979,0.001013836751744885,0.00015207551988338008,0.0149999996647239
58,32.00000148,22.99999968,Local,0.0045547480076219525,0.43124218787243085,0.034465130797222465,66.0066054254801,208.11882370173979,0.001013836751744885,0.00015207551988338008,0.0149999996647239
173,32.00000148,22.99999968,Local,0.0045547480076219525,0.43124218787243085,0.034465130797222465,66.0066054254801,208.11882370173979,0.001013836751744885,0.00015207551988338008,0.0149999996647239
174,32.00000148,22.99999968,Local,0.0045547480076219525,0.43124218787243085,0.034465130797222465,66.0066054254801,208.11882370173979,0.001013836751744885,0.00015207551988338008,0.0149999996647239
324,32.00000148,17.000000280000002,Local,0.004731721643178897,0.42645591120040555,0.03600001918954247,74.89125327021206,236.13211731695984,0.0010874185303349638,0.00016311279256677705,0.0149999996647239
419,32.00000148,26.00000028,Local,0.004397156863332672,0.42029230148150376,0.032938153840753825,62.200787178258125,196.11907975352753,0.0009809249954253552,0.00014713875700467113,0.0149999996647239
486,32.00000148,20.00000088,Local,0.004643234798854376,0.42884905025435976,0.035232574763149185,70.44892801514877,222.12546630735534,0.0010506276300026565,0.0001575941545694875,0.0149999996647239
525,32.00000148,22.99999968,Local,0.0045547480076219525,0.43124218787243085,0.034465130797222465,66.0066054254801,208.11882370173979,0.001013836751744885,0.00015207551988338008,0.0149999996647239
590,32.00000148,15.000001200000002,Local,0.004790712833794373,0.424860486217417,0.03651164846946252,77.85280148563153,245.46987849377095,0.0011119457810351758,0.00016679188213676986,0.0149999996647239
624,32.00000148,15.000001200000002,Local,0.004790712833794373,0.424860486217417,0.03651164846946252,77.85280148563153,245.46987849377095,0.0011119457810351758,0.00016679188213676986,0.0149999996647239
654,32.00000148,18.0,Local,0.004702226042561949,0.4272536238354881,0.0357442045035358,73.41047889596287,231.4632358881554,0.0010751549027774043,0.00016127324745066244,0.0149999996647239
676,32.00000148,17.000000280000002,Local,0.004731721643178897,0.42645591120040555,0.03600001918954247,74.89125327021206,236.13211731695984,0.0010874185303349638,0.00016311279256677705,0.0149999996647239
713,32.00000148,16.00000092,Local,0.004761217233177425,0.42565819885249956,0.036255833783455836,76.37202711138234,240.8009970649665,0.0010996821534776163,0.00016495233702065523,0.0149999996647239
725,32.00000148,13.00000032,Local,0.004849704077501945,0.42326505979854534,0.037023278209849124,80.81435236644563,254.807648074571,0.0011364730538099236,0.00017047097501794479,0.0149999996647239
761,32.00000148,11.00000016,Local,0.005327174799420847,0.4424117453686521,0.040791650007116466,94.21640011095326,297.0643157987253,0.0012685364636639822,0.00019028048442401569,0.0149999996647239
778,32.00000148,14.00000076,Local,0.004820208455648158,0.4240627730079812,0.03676746333965582,79.33357692603857,250.13876328417098,0.0011242094174225498,0.0001686314285773573,0.0149999996647239
